cons,semest,codigo,nombre,area,sem,ht,hp,htp,hti,cr,preyco,HVC,fal,bas,prof,compl
51,7,0304545,Productos Naturales,Ciencias ,15,2,4,__,3,3,(PR) 0304334 (PR) 0304482 (PR) 0304483,__,18,__,si,__
52,7,0304380,Ecología,Ciencias ,15,4,__,__,8,4,(PR) 0304238                             (PR) 0304246 (CO) 0301102,HV,12,__,si,__
53,7,0304381,Laboratorio de Contaminación Ambiental,Ciencias ,15,__,3,__,0,1,(CO) 0304380                             ,__,9,__,si,__
66,7,0304488,Química Inorgánica II,Quimica,15,4,__,__,8,4,(PR) 0304238                             (PR) 0304398 (PR) 0302310,HV,12,__,si,__
67,7,0304489,Laboratorio de Química Inorgánica II,Quimica,15,__,3,__,0,1,(CO) 0304488,__,9,__,si,__
55,8,0304388,Química Cuántica I,Quimica,15,4,0,0,8,4,(PR)0304432 (PR)0303295   (CO) 0302310 ,HV,12,__,si,__
56,8,0304444,Bioquímica I,Quimica,15,4,0,0,8,4,(PR) 0304334 (PR) 0301102,HV,12,__,si,__
57,8,0304445,Laboratorio de Bioquímica I,Quimica,15,0,4,0,-1,1,(PR) 0301112 (CO) 0304444,__,12,__,si,__
58,8,0304490,Metodología de la Investigación,Sociohumanistica,15,3,0,0,6,3,(CR)130,__,9,__,si,__
59,8,0304495,Análisis Orgánico ,Quimica,15,2,6,0,4,4,(PR) 0304334 (PR) 0304482,__,24,__,si,__
9001,8,9001,Electivo I,Sociohumanistica,15,0,0,0,0,0,__,__,__,__,__,__
61,8,0304536,Introducción a la Administración,Sociohumanistica,15,4,0,0,8,4,(PR) 0304386,HV,12,__,si,__
62,9,0304438,Química Cuántica II,,15,4,0,0,8,4,,HV,12,__,si,__
63,9,0304540,Investigación I,,15,0,15,0,0,5, (PR) 0304388,HV,45,__,si,__
64,9,0304585,Síntesis Orgánica ,,15,2,6,0,4,4, (PR) 0304482 (PR) 0304490,__,21,__,si,__
65,9,0305580,Ética Profesional,,15,2,0,0,4,2,(PR) 0304334,H,6,__,si,__
9001,9,9001,Electivo II,,15,2,0,0,4,2,(CR)100,H,6,__,__,si
68,10,0304590,Investigación II,,15,0,15,0,0,5,(PR) 0304540,__,48,__,si,__
